,Url,Oferta,Cena,Umeblowane,Powierzchnia,Liczba pokoi
102,https://www.olx.pl/oferta/wynajme-mieszkanie-lodz-polesie-CID3-IDFhXEa.html#c306ff6027,Wynajmę mieszkanie- Łódź. Polesie,1501,1,38.0,2
103,https://www.olx.pl/oferta/kawalerka20-5-m2ul-wodnaod-zaraz-CID3-IDFdILq.html#c306ff6027,Kawalerka*20.5 m2*ul. Wodna*od zaraz,1250,1,20.5,1
104,https://www.otodom.pl/oferta/nowoczesne-2-pokoje-kuchnia-swietna-lokalizacja-ID45MKP.html?,Nowoczesne 2 pokoje + kuchnia. świetna lokalizacja,2000,1,47.8,2
105,https://www.olx.pl/oferta/mieszkanie-na-wynajem-dwa-pokoje-teofilow-CID3-IDFl6m1.html#c306ff6027,Mieszkanie na wynajem. dwa pokoje. Teofilów,1150,1,39.0,2
106,https://www.olx.pl/oferta/mieszkanie-kawalerka-na-wynajem-przy-pabianickiej-CID3-IDFl5Xc.html#c306ff6027,Mieszkanie kawalerka na wynajem przy Pabianickiej,1270,1,34.0,1
107,https://www.olx.pl/oferta/kawalerka-do-wynajecia-CID3-IDC5OqW.html#c306ff6027,Kawalerka do wynajęcia,1330,1,38.0,1
108,https://www.olx.pl/oferta/nowe-mieszkanie-50m2-ul-zwirki-new-appartment-1-bedroom-livingroom-CID3-IDCI8KB.html#c306ff6027,Nowe mieszkanie 50m2 ul. Żwirki/ New appartment 1 bedroom + livingroom,2500,1,50.0,2
109,https://www.olx.pl/oferta/kawalerka-do-wynajecia-w-lodzi-przy-politechnice-ul-wroblewskiego-19-CID3-IDDNsWd.html#c306ff6027,Kawalerka do wynajęcia w Łodzi przy Politechnice. ul. Wróblewskiego 19,1500,0,26.0,1
110,https://www.olx.pl/oferta/mieszkanie-lodz-gorna-dobra-lokalizacja-CID3-IDF4Qv7.html#c306ff6027,Mieszkanie Łódź Górna - dobra lokalizacja,1480,1,38.0,1
111,https://www.otodom.pl/oferta/wynaime-mieszkanie-m4-57m-baluty-ID4606i.html?,Wynaimę mieszkanie M4 57m Bałuty,2050,1,57.0,3
112,https://www.olx.pl/oferta/eleganckie-mieszkanie-w-lodzi-okolice-ronda-solidarnosci-CID3-IDBSd0U.html#c306ff6027,Eleganckie mieszkanie w Łodzi. Okolice Ronda Solidarności!,2360,1,55.0,2
113,https://www.olx.pl/oferta/komfortowe-2-pokojowe-mieszkanie-pojezierska-CID3-IDFgtHJ.html#c306ff6027,Komfortowe 2-pokojowe mieszkanie Pojezierska,1670,1,45.0,2
114,https://www.olx.pl/oferta/mieszkanie-m3-do-wynaiecia-retkinia-polesie-CID3-IDFjK8o.html#c306ff6027,Mieszkanie M3 do wynaięcia Retkinia Polesie,1730,1,42.42,2
115,https://www.olx.pl/oferta/retkinia-ul-przelajowa-m-4-nowe-do-wynajecia-CID3-IDFl0QU.html#c306ff6027,Retkinia ul. Przełajowa M-4. Nowe. Do wynajęcia.,2200,0,53.0,3
